price,mean_commute_time,median_home_value,percent_bachelors_or_higher,percent_below_poverty,percent_highschool_or_higher,percent_no_health_insurance,rating,review_count,unemployment_rate,median_household_income,population,density,income_category,price_weight,price_weight_contr,price_weight_contrv2,zip_code,high_price,4_star,zip_code.1,inc_cat2,inc_cat3
3.0,25.9,313300.0,48.8,6.4,95.4,3.4,3.0,13.0,6.3,54018.0,22031.0,281.9,1.0,117.0,0.5310698561118424,4.085152739321866,2852,1,0,2852,2,1
1.5882352941176472,32.39999999999999,293600.0,36.7,3.700000000000001,94.40000000000002,1.3999999999999997,3.941176470588236,22.529411764705888,4.4,101777.0,8733.0,77.79999999999998,3.0,133.88235294117646,1.5330625551491637,7.173601147776184,2857,0,0,2857,3,2
1.5890410958904109,23.700000000000035,170500.0,19.099999999999987,19.29999999999997,77.39999999999995,12.100000000000017,3.8835616438356166,92.06849315068493,11.5,34875.0,47127.0,3229.2999999999956,0.0,672.5958904109589,1.4271986131325127,1.302222993479293,2860,4,0,2860,1,1
1.4782608695652173,25.4,174200.0,20.0,11.800000000000004,85.0,7.300000000000006,3.597826086956522,52.0,8.600000000000005,43774.0,25044.0,2835.6000000000017,1.0,326.5217391304348,1.303792282105234,2.2178357395332045,2861,1,0,2861,2,1
1.7142857142857142,28.300000000000004,149100.0,8.0,23.6,59.2,22.2,3.7857142857142856,63.0,10.5,24841.0,19346.0,6235.9000000000015,0.0,348.3571428571428,1.8006675429398478,3.2860244273456303,2863,0,0,2863,1,1
1.6551724137931034,27.0,266500.0,37.799999999999976,5.599999999999998,89.90000000000003,2.9000000000000004,3.7068965517241383,48.31034482758621,3.0,46894.0,34624.0,488.10000000000025,1.0,329.7068965517241,0.9522495856969849,1.7727388616227937,2864,0,0,2864,2,1
1.5217391304347827,23.60000000000001,296800.0,40.0,10.5,92.70000000000003,5.400000000000002,3.4782608695652173,41.73913043478261,3.7999999999999994,90622.0,17448.0,393.10000000000014,2.0,231.7173913043478,1.3280455714371144,3.0276299264398063,2865,2,0,2865,3,2
2.6666666666666665,23.5,209800.0,34.8,9.4,91.90000000000002,4.8,3.6666666666666665,11.666666666666664,5.400000000000001,55830.0,29007.0,757.7000000000003,2.0,93.0,0.32061226600475745,3.3325289297985536,2886,1,1,2886,2,1
1.0,23.6,193300.0,29.6,7.1,90.7,4.9,3.5,15.0,4.7,300000.0,19167.0,1296.4,3.0,52.5,0.2739082798560025,1.8260551990400165,2888,0,0,2888,4,2
1.9896373056994816,19.199999999999932,314300.0,45.69999999999993,34.0,79.20000000000027,9.599999999999966,3.8497409326424865,222.41968911917095,10.70000000000003,14093.0,10542.0,2376.2999999999925,0.0,1827.3471502590673,17.333970311696714,7.288880500696456,2903,31,2,2903,1,1
1.6666666666666667,21.29999999999997,192100.0,26.90000000000005,13.399999999999995,86.19999999999986,8.600000000000014,3.5862068965517233,62.919540229885065,5.6000000000000085,45243.0,30522.0,2171.700000000002,1.0,376.0344827586207,1.2320112795970792,1.9544974907867467,2904,8,0,2904,2,1
1.3333333333333333,24.800000000000008,181300.0,26.899999999999995,14.699999999999998,81.5,8.799999999999997,3.9583333333333335,122.33333333333331,13.099999999999996,43452.0,25488.0,2647.3,1.0,671.5416666666666,2.634736608077004,2.0924879681941837,2905,0,0,2905,2,1
1.7401574803149606,21.90000000000005,390900.0,75.1000000000002,4.199999999999995,95.20000000000013,3.899999999999991,4.003937007874016,153.86614173228347,3.8000000000000083,79847.0,28196.0,3382.599999999993,2.0,1073.6417322834643,3.807780296082653,2.486810548879998,2906,8,0,2906,3,2
1.6,22.8,146800.0,14.1,25.4,69.3,16.5,4.3,207.0,14.8,19331.0,30781.0,4814.8,0.0,1547.0,5.025827620934993,2.2091549982131844,2907,0,0,2907,1,1
1.375,23.70000000000002,174900.0,28.0,14.899999999999983,82.59999999999994,9.0,3.59375,108.39583333333331,7.5,29448.0,37549.0,4577.5,0.0,744.8125,1.983574795600416,1.326045078874715,2908,0,0,2908,1,1
1.71875,24.20000000000001,154500.0,12.899999999999993,21.70000000000001,66.90000000000003,16.699999999999996,4.109375,219.84375,11.399999999999995,300000.0,40572.0,4852.899999999997,3.0,1621.015625,3.9954047742285317,1.725327812284334,2909,0,0,2909,4,2
1.7894736842105263,21.399999999999988,182300.0,26.300000000000008,13.099999999999996,89.59999999999997,6.099999999999998,4.0,158.10526315789474,6.400000000000002,58974.0,22143.0,2351.5999999999995,2.0,1167.1315789473686,5.270882802453906,3.2325767677559973,2910,0,0,2910,2,1
1.6666666666666667,24.7,195500.0,31.899999999999995,13.0,90.8,3.7000000000000006,4.166666666666667,74.33333333333333,6.099999999999999,47341.0,15864.0,2414.6,1.0,570.3333333333334,3.595142040679105,4.412506303580434,2911,0,0,2911,2,1
1.6470588235294117,22.199999999999992,195200.0,17.0,12.400000000000004,75.79999999999998,9.400000000000002,3.852941176470588,101.58823529411764,9.400000000000002,48687.0,21605.0,1735.2000000000005,1.0,682.6176470588234,3.15953551057081,2.886042174333284,2914,0,0,2914,2,1
1.5,25.3,207300.0,30.4,9.7,88.4,4.0,3.75,71.25,5.6,57739.0,16646.0,1177.4,2.0,391.75,2.3534182386158835,3.3040970803796705,2915,0,0,2915,2,1
1.7818181818181815,21.59999999999995,287700.0,37.5,7.799999999999986,93.29999999999997,3.0,3.731818181818182,41.190909090909095,3.5,33297.0,13803.0,249.0,0.0,274.6409090909091,1.9897189675498723,4.78156922408172,2917,8,1,2917,1,1
1.7037037037037035,21.100000000000012,211800.0,22.39999999999999,5.0,88.5,2.3999999999999995,3.814814814814815,33.96296296296296,6.099999999999998,57006.0,29254.0,472.5,2.0,226.83333333333331,0.7753925389120576,2.2788906360383763,2919,3,0,2919,2,1
